#不要报考太原师范学院#顶上去，坚持到高考结束 ?
"真的心寒，所谓的父母都是为了你好#不要报考太原师范学院#,这么多天，真是不好意思，难为大家的跟进了，大家说心寒，对不起，作为当事人朋友，这么些天陪着忙这忙那的，最后这样我也心寒，所以我决定离开这件事了。我自认为我作为一个朋友该做的都做了，学校把她们俩以保护的名义关起来，我把她们带出来，我劝她们报警找律师，可是浪费了一天被告知当地律师不 ?  展开全文,这么多天，真是不好意思，难为大家的跟进了，大家说心寒，对不起，作为当事人朋友，这么些天陪着忙这忙那的，最后这样我也心寒，所以我决定离开这件事了。我自认为我作为一个朋友该做的都做了，学校把她们俩以保护的名义关起来，我把她们带出来，我劝她们报警找律师，可是浪费了一天被告知当地律师不接这个案子（不好意思没有录音，如果我造谣我现在就暴毙），周末公安局不能立案，再加上芝芝父母来了，一切不是我能说动的了，父母坚信学校能解决好，芝芝崩溃好几次也不听芝芝的，说芝芝是多想了，芝芝没有病，说要芝芝自己坚强起来。我们联系了微博那个吴律师还有知乎上那个律师，知乎上的律师过来和我们聊过很多，但是芝芝签合同的时候被母亲严厉拒绝了（纵使之后芝芝签了字，父母也不让和律师联系）我和小龙和她母亲说过很多次，芝芝也说过自己有多难受，只是妈妈一直是嘴上应着，心里有自己的想法。说句题外话，在芝芝父母来之前，我和小龙是很有把握的，只是在这之后，我们越来越绝望，以至于我也开始怀疑我做的到底是对是错，最终我决定抽身离开。你们要说我自私也好，说我带节奏也好，学校的处理方式是真的不够好，你们给学校道歉是你们的自由，只是我希望，如果芝芝妥协于父母，今后的你们能对芝芝好一些，她不是无中生有，她的确遭受了你们无法想象的伤害，那些证据律师已经表明过能走刑事案件了，只是刑事得当事人去报警，芝芝父母是不会让芝芝去的。父母还想继续跟学校商讨，得出一个最优方案，我不知道会怎么样，我也不想管了。我把自己当做受害人，最后我真的成了受害人，我自己的精神都有点崩溃。吃力不讨好的事情，可能我以后再也不会做了，朋友让我别再浪费我的善良了，我只想快点回家倒头睡一觉，可能会喝很多酒，心里真的很堵，这几天我强撑着不哭，因为我觉得我如果哭了会影响她们的情绪，我一直控制自己，我差点忘了我也是一个才20岁的女生罢了，我没有那么坚强。最后，谢谢大家，大家的鼓励关心我都很感动，大家骂我我也接受，因为我也不确定我到底做的是不是一件对的事。然后，这个微博大概是不能再用了。拜拜啦～下个ID见。 太原·太原武宿国际机场 收起全文"
#学校发生过的有名事件#@强国魂9856: 大家看看太原师范学院老师如何霸凌学生吧！网页链接 ?
"#太原师范学院校园暴力反转##太原师范学院#  网络暴力从一开始就没有停过。老师、学生、花圈、遗照，只有你想不到没有那部分激进网民们做不出来的。所以我们其实也很希望芝芝能起诉，还学校一个清白。但是不管是因为证据不足还是父母不同意，这条路最后没有走通，所以我们只能从蛛丝马迹寻找事情的真 ?  展开全文,#太原师范学院校园暴力反转##太原师范学院#  网络暴力从一开始就没有停过。老师、学生、花圈、遗照，只有你想不到没有那部分激进网民们做不出来的。所以我们其实也很希望芝芝能起诉，还学校一个清白。但是不管是因为证据不足还是父母不同意，这条路最后没有走通，所以我们只能从蛛丝马迹寻找事情的真相。知乎上芝芝很早就发过关于校园暴力的问题，这说明他没有撒谎。但是校园暴力有多严重？上升到肢体冲突了吗？发的群究竟是哪里？校园暴力是多久发生一次？天天都有还是几个月一次？这些受害者没有给出回答，施暴者和校方也没有。“放弃剂量谈毒性就是耍流氓”，这点在这件事上也同样适用——“放弃程度谈性质就是耍流氓”。各位，我就不信没有家长骂过孩子，那你是不是要说妈妈家暴你了？把你妈从家里赶出去，和她上法庭关进监狱里。所以……若芝芝真的夸大事件程度，我认为她和施暴者甚至同罪。一个校园暴力、一个夸大事实故意引起网络暴力，哪个更严重由您思考思考。 收起全文"
【半刻闲情】今天，一则太原师范霸凌的事件牢牢霸占着微博热搜的第一名，知道校园霸凌的存在，但如今的校园霸 太原师范学院大二女学生遭霸凌后，学校出手压制！网友：不给交代你完了 网页链接 ?
"#太原师范回应 未发生暴力行为#舆论不爆不解决问题，不作为。学生寻求网络舆论关注更说明学校在这件事情上不作为。学校不是动物园，既然学生已经交到了学校，校方就应该负担起学生心理健康，人身安全的责任。家庭教育有不可推卸的责任，什么样的家长教出什么样的孩子。家长像牲口，孩子教出来像畜生， ?  展开全文,#太原师范回应 未发生暴力行为#舆论不爆不解决问题，不作为。学生寻求网络舆论关注更说明学校在这件事情上不作为。学校不是动物园，既然学生已经交到了学校，校方就应该负担起学生心理健康，人身安全的责任。家庭教育有不可推卸的责任，什么样的家长教出什么样的孩子。家长像牲口，孩子教出来像畜生，只会给社会带来祸害。人证物证俱在，何来查。请扭送派出所，追究法律责任。加油！同学。会一直关注，拿起法律武器保护自己。@王芝芝会有狗的 @太原师范学院- 收起全文"
#四川师范大学熊清泉#@强国魂9856: 大家看看太原师范学院老师如何霸凌学生吧！网页链接 ?
#四川师范大学#@强国魂9856: 大家看看太原师范学院老师如何霸凌学生吧！网页链接 ?
"会思考的小朋友，给你点赞#太原师范回应 未发生暴力行为# #太原师范学院#,在风头最盛的时候我发的这条微博，因为我想把自己知道的真相说出来，知道自己会被骂，但不知道如此来势汹汹，铺天盖地的私信，@ ，以及评论，我第一次觉得我没自己想的那么无所谓，所以把微博设成了仅自己可见。与此同时每天都在搜着这个话题，因为觉得遭受全网暴力的两个女生更可怜人们总是愿意去 ?  展开全文,在风头最盛的时候我发的这条微博，因为我想把自己知道的真相说出来，知道自己会被骂，但不知道如此来势汹汹，铺天盖地的私信，@ ，以及评论，我第一次觉得我没自己想的那么无所谓，所以把微博设成了仅自己可见。与此同时每天都在搜着这个话题，因为觉得遭受全网暴力的两个女生更可怜人们总是愿意去相信这个世界是黑暗的，越是离奇，越是兴奋，这样来凸显自己的光亮别把世界想得那么好，但也别把世界想得那么坏，别被别人把你的善良当枪使，让你的正义变成无脑喷你们都欠着一句对不起#太原师范回应 未发生暴力行为##太原师范学院校园暴力反转# 收起全文"
#太原师范学院# 哀其不幸，怒其不争。 济南·山东中医药大学 ?
王胜男：对太原师范学院和学子们说一句对不起清者自清 #太原师范学院# ?
拒绝校园暴力！#太原师范学院# ?
"//@晨晨无话可说:在吗处理吗//@晨晨无话可说:一天一问，处理了吗#太原# #太原师范回应 未发生暴力行为# #李梓瑶# #赵湘# #不要报考太原师范学院# #太原师范回应 未发生暴力行为# //@晨晨无话可说:一天一问，处理了吗#李梓瑶# #太原# #太原师范回应 未发生暴力行为#,#太原师范回应 未发生暴力行为#太原师范学院正式回应表示“4人在宿舍经常互相打闹未发生过暴力行为，不存在扒衣服行为更不存在向外发布裸照行为，表示拍摄的视频仅发在了本宿舍的qq群”，#赵湘#随后网友们纷纷表示#李梓瑶#“这个回应很不满意一定存在阴谋”，大家觉得此件事情真的就这么简单吗？  ?  展开全文,#太原师范回应 未发生暴力行为#太原师范学院正式回应表示“4人在宿舍经常互相打闹未发生过暴力行为，不存在扒衣服行为更不存在向外发布裸照行为，表示拍摄的视频仅发在了本宿舍的qq群”，#赵湘#随后网友们纷纷表示#李梓瑶#“这个回应很不满意一定存在阴谋”，大家觉得此件事情真的就这么简单吗？ 扒圈新闻的秒拍视频 收起全文"
"太原师范学院校园霸凌事件，那些骂我的人希望能出来道歉！现在去查查这件事情的真相究竟谁在说谎！既然学校不可信那你们还呆在学校做什么？她不敢第一时间找学校只能说明一点，怕事实被人揭穿！互联网是有记忆的！既然大家都是正义人士我希望责任负到底！@黑糖梦露 @SXT加油 @赵二蛋阿哈 @红领巾映太阳 ?  展开全文,太原师范学院校园霸凌事件，那些骂我的人希望能出来道歉！现在去查查这件事情的真相究竟谁在说谎！既然学校不可信那你们还呆在学校做什么？她不敢第一时间找学校只能说明一点，怕事实被人揭穿！互联网是有记忆的！既然大家都是正义人士我希望责任负到底！@黑糖梦露 @SXT加油 @赵二蛋阿哈 @红领巾映太阳 @猫耳朵李子园 @轰焦冻的妈妈粉 @山雨ovo @不是你的996 @mio酱不害羞 等等详文看链接罗生门之太原师范学院校园欺凌事件 收起全文"
#太原师范学院#又是静待结果的一天…… ?
"#太原师范学院校园暴力反转# 我是太原师范学校的学生，一开始知道这件事的时候，很气愤，同时也为那个叫王芝芝的女孩抱不平，想着这么会有怎么恶毒的舍友，希望学校调查清楚严肃处理。当事件的舆论发酵了一段时间，网上一部分人的言语开始恶劣起来，p遗照p花圈，爆联系方式等等。是不是网上说话做事不 ?  展开全文,#太原师范学院校园暴力反转# 我是太原师范学校的学生，一开始知道这件事的时候，很气愤，同时也为那个叫王芝芝的女孩抱不平，想着这么会有怎么恶毒的舍友，希望学校调查清楚严肃处理。当事件的舆论发酵了一段时间，网上一部分人的言语开始恶劣起来，p遗照p花圈，爆联系方式等等。是不是网上说话做事不用负责任就可以随便乱说。一开始大家要求学校处罚她们，一个负责人的单位做事是要讲证据的，总不能网上说什么就是什么吧。如果就是网上说什么就是什么，因为害怕舆论草草了事才是不负责任的行为，那就是不依法治国成了舆论治国了。而且既然大家说要立案，那么是不是要采集证据，是不是要调查，立案又不是儿戏怎么能随随便便定论。可是网友们却不肯给他们时间，一口咬定学校“黑暗处理”“威胁当事人甚至当事人家人”，我看见这些话甚至觉得有点好笑，是什么样的手眼通天才能控制湖南的家人，那他开个p的学校啊，还申请个p的大学啊，动用关系直接升啊，怕什么，咱有关系手眼通天啊。网上狂喷学校改名字，拜托那就是你们一开始就搜错了……网友狂喷的那个瑶瑶最爱社会摇，那个根本不是当事人之一……还有一些人不分青红皂白的骂校长老师，校长是今年才来的，且不说人家多忙，就不忙，你觉得大学的校长可以面面俱到到一个每一个学生？还点名一些老师，别的我不知道，王川龙人家是搞学术的，根本无暇顾及学校里杂七杂八的事情，平时学校需要领导到场的就没来过，非常忙。你让这种人去管学生宿舍里的事？这件事是李姓当事者的错，她做的过分应该受到处罚，但是没有严重到网友这个样子吧，还把无关紧要的人牵扯进来，学校，学校的学生，学校的老师，甚至稍稍有人站出来质疑一下就被骂的狗血淋头。他们何其无辜。虽然我已经毕业一段时间了，但是我还有朋友在哪里，一想到她有可能也受到了所谓的“问候”心里就不舒服。你们说学校黑，垃圾，但是你就敢保证清华北大里面没有校园欺凌事件？毕竟林子大了什么鸟都有，何况事情还没有定性。是你要说太原师范学院不好，我承认，学校确实算不上什么名牌学校不是什么一流大学，但是你要说里面的人也是垃圾，我就不服气了，我们学校的老师都是一流大学出来的研究生这么就垃圾了。是你们去里面读过书还是确实了解过。我是数学系的，老师会因为我们上课不积极回答问题批评我们，会因为成绩不好数落我们，说我们要学习以前的师兄师姐刻苦学习。为了让我们上课好好听课还专门弄了放手机的袋子，上课时候放进去，下课再拿走。我们导员每个月都会给我们开会，会抽查我们各科老师的名字，会抽查我们学校的校训，他跟大一到大四的每一个人都单独聊过天(因为给他当过助手所以清楚)，握过手，还有很多很多事，虽然当时觉得这个老师好麻烦呀，真的是麻烦，但是现在想起来蛮温馨的。后来新换了导员，她是产后抑郁，脾气不好经常哭，怕影响学校还是坚持回来上班，大家也都知道，所以都不会很麻烦她。我以前上课的时候，课间老师跟我们谈大学应该好好学习但是也应该好好谈恋爱，然后说起来几年前我们学校原来有一对小哥哥，特别优秀成绩好人也好，后来两个人在一起了，当初老师同学们都知道，都很尊重他们自己的选择。我记得老师说，如果能找到一个人，你们两个可以相互扶持越来越好的走下去，那就是好的感情，与性别无关，当然不是鼓吹同性恋，只是大家在面对感情的时候要勇敢一点。虽然我对同性恋这个事是中立态度，但那个时候我就觉得这个学校的老师跟同学好有爱，在那个时候，做到不歧视已经是很不容易的事情。说这么多就是想表达，王芝芝那件事情还没有定性，不知道事件的真假，希望大家不要听风就是雨，要讲证据。即便是真的，也请大家就事论事，不要牵扯到无辜的老师跟同学，因为他们真的很好。 收起全文"
#太原师范学院#@北京校园那些事儿 @喜脉洗脉 @论坛说事 @会火 @北方新报 @广东高校新鲜事 @热传媒 @人民法院报 @人民公安报 @人民论坛 @人民日报评论 @人民网 @人民微博 #太原师范学院# 救救芝芝?????????? ?
"还记得上初中的时候，有一次考试考差了，被老师调到最后面坐了，后桌有一个男生就整天欺负人，当然也包括我，有一天我好像跟他理论了一番，然后我转身坐下，他就狠狠地踢了我一脚，然后那个时候我心里十分害怕，我同桌是个男生但是他也不敢惹那个男生，就很想转学 ，很怕遇到那个男生，每次都是躲着走 ?  展开全文,还记得上初中的时候，有一次考试考差了，被老师调到最后面坐了，后桌有一个男生就整天欺负人，当然也包括我，有一天我好像跟他理论了一番，然后我转身坐下，他就狠狠地踢了我一脚，然后那个时候我心里十分害怕，我同桌是个男生但是他也不敢惹那个男生，就很想转学 ，很怕遇到那个男生，每次都是躲着走，那一段时间反正就很煎熬。再后来我就好好学习，成绩终于考好了，老师把我调到了前面几排，后来就一直在前几排坐着，那个男生就再也没欺负过我了，校园暴力真的很可怕，真的给学生留下心理阴影的。好在上了高中大学遇到的人都还不错，对我也很好。最近太原师范学院暴力事件频频上热搜，一直关注着，结局却是很失望，学校和家长的不作为，学生的权益什么都没得到维护，简直窝火，希望校园暴力这种事不要再发生了 ，自己一定要保护好自己，愿每个人都被温柔以待吧。 收起全文"
"在吗处理吗//@晨晨无话可说:一天一问，处理了吗#太原# #太原师范回应 未发生暴力行为# #李梓瑶# #赵湘# #不要报考太原师范学院# #太原师范回应 未发生暴力行为# //@晨晨无话可说:一天一问，处理了吗#李梓瑶# #太原# #太原师范回应 未发生暴力行为#,#太原师范回应 未发生暴力行为#太原师范学院正式回应表示“4人在宿舍经常互相打闹未发生过暴力行为，不存在扒衣服行为更不存在向外发布裸照行为，表示拍摄的视频仅发在了本宿舍的qq群”，#赵湘#随后网友们纷纷表示#李梓瑶#“这个回应很不满意一定存在阴谋”，大家觉得此件事情真的就这么简单吗？  ?  展开全文,#太原师范回应 未发生暴力行为#太原师范学院正式回应表示“4人在宿舍经常互相打闹未发生过暴力行为，不存在扒衣服行为更不存在向外发布裸照行为，表示拍摄的视频仅发在了本宿舍的qq群”，#赵湘#随后网友们纷纷表示#李梓瑶#“这个回应很不满意一定存在阴谋”，大家觉得此件事情真的就这么简单吗？ 扒圈新闻的秒拍视频 收起全文"
"#抵制太原师范学院#,#抵制太原师范学院##太原师范回应 未发生暴力行为##太原师范学院# 在德国，起初他们追杀共产主义者，我没有说话——因为我不是共产主义者； 接著他们追杀犹太人，我没有说话——因为我不是犹太人； 后来他们追杀工会成员，我没有说话——因为我不是工会成员； 此后他们追杀天主教徒，我没有说话—— 因 ?  展开全文,#抵制太原师范学院##太原师范回应 未发生暴力行为##太原师范学院# 在德国，起初他们追杀共产主义者，我没有说话——因为我不是共产主义者； 接著他们追杀犹太人，我没有说话——因为我不是犹太人； 后来他们追杀工会成员，我没有说话——因为我不是工会成员； 此后他们追杀天主教徒，我没有说话—— 因为我是新教教徒； 最后他们奔我而来，却再也没有人站起来为我说话了。请大家为校园暴力发声！不止是为@太原师范学院- 的某一两个三四个人，也是为更多被欺凌但却不为人知的人，不敢站出来的人，还在苦难中的人以上@所有人  收起全文"
#太原师范学院#还能怎么说，一如既往地妥协，一如既往地没有改变 ?
太原师范学院这个事情每个人心里都有一杆秤，为什么大家还要跑去骂别人。我认为真正关心的话就让她们一家回归正常生活吧。 ?
#太原师范学院#@喜脉洗脉 能不能让网友们评评这种事儿 ?
添油加醋偏离真相，是，你是受害者，这就是造谣别人恶意扩大影响的理由吗？#太原师范学院校园暴力反转#太原师范学院太原师范学院@_明知须臾景_ ?
#太原师范学院#这么久了，为什么学校官博关闭了评论而没有公布处理的结果呢？ ?
#太原师范回应 未发生暴力行为##太原师范学院##太师校园暴力# 开始有大批量的洗地号介入，各位要小心哦  来的都是言词犀利  言语清晰的主  也不是不同意你们洗地 但是不要把节奏带到受害人身上  谢谢 ?
#太原师范学院#对这件事一直很期待有没有后续，所以学校发了个声明，受害者微博发了个感觉有点假的声明，各种热度被撤，就结束了吗？至少受害者出来发个让人信服的声明，对施暴者的处理得让大家知道吧。只撤热度的话就很过分了呀，希望可以有个让人信服的结果。 南通 ?
#太原师范学院# #正义网友与太原师范王芝芝通话录音# 遇事不要轻易下结论，即便有了答案也要等等。因为下结论本身在某种程度上可以等同于思维的懒惰。舆论可以帮助人，也可以害死人 ?
"@山西共青团 @央视网 @中国新闻网 @澎湃新闻 @共青团中央 #太原师范学院# #太原师范回应 未发生暴力行为# #太原師範學院校園暴力#,#太原师范学院##四川师范大学##太原师范回应 未发生暴力行为# 太原师范学院这件事到现在还没有结果，我不知道以后还有没有所谓反转。        我看今年五月份四川师范大学熊清泉教授给学生发裸照事件，最近大家从网上得到的消息是芝芝得到保研承诺以后就不再追究，我想说芝芝这样的学校你还敢待么，追 ?  展开全文,#太原师范学院##四川师范大学##太原师范回应 未发生暴"
太原师范学院的事告诉我 别搞什么泛滥的同情心 隔着网线 谁也不知道是真是假枉亏一大帮网友们跑这跑那伸张正义 ?
#太原师范学院#不存在反转吧，学校要觉得受害者造谣，有本事报警啊，发的声明把该解释的全漏掉了，垃圾的一批 晋中·太原师范学院 ?
#太原师范学院回应 未发生暴力行为#居然败在了父母手上？？ ?
"估计是也只有这种本事才能upupup了//@什么时候才能成为一个可爱的仙女:太原师范学院试图把发生在校园里的【恶性暴力＋威胁恐吓＋公然偷拍并传播裸露视频】弱化为简单的【宿舍冲突】！！,分享图片 晋中·太原师范学院 ?"
#太原师范校园暴力##王芝芝会有狗的##太原师范学院校园暴力没有反转# 霸凌就是霸凌，我没见过什么“夸大霸凌”，也没见过最后霸凌出来洗的。这个校园暴力没有反转，只是现在这个社会，不是所有的坏人都会得到应有的惩罚罢了。 ?
"现在这个事情竟然这样无声无息的消失了，仿佛从来没发生过一样。希望芝芝和小龙都好好的#太原师范学院# #瑶瑶最爱社会瑶#,抱歉，此微博已被作者删除。查看帮助：网页链接"
"唇腭裂（Orofacial cleft）俗称“兔唇”，是口腔颌面部最常见的先天性畸形，常与腭裂伴发。在没有基因解码的干预下，我国新生儿唇、腭裂的发生率约为1/1000，这种先天性畸形主要是在怀孕第4周到第10周期间，由于某些基因的序列发生变化而引起的胎儿面部发育障碍所致，可通过致病基因鉴定检测分析，为后 ?  展开全文,唇腭裂（Orofacial cleft）俗称“兔唇”，是口腔颌面部最常见的先天性畸形，常与腭裂伴发。在没有基因解码的干预下，我国新生儿唇、腭裂的发生率约为1/1000，这种先天性畸形主要是在怀孕第4周到第10周期间，由于某些基因的序列发生变化而引起的胎儿面部发育障碍所致，可通过致病基因鉴定检测分析，为后代的优生优育提供遗传咨询依据。网页链接健康身体就需基因解码！佳学基因，基因检测中的No.1!北京·佳学基因解码基因检测基因矫正 晋中·太原理工大学明向校区 晋中·太原师范学院 太原·太原理工大学虎峪校区 #太原·太原理工大学迎西校区[地点]# 太原·太原武宿国际机场2号航站楼(出发) 太原·太原工业学院 收起全文"
"#太原师范学院#好多事情不愿意发声就是这样的，热度来的实在太容易了，公说公有理婆说婆有理，每个人说气话都会为自己开脱，会下意识去除对自己不利的地方，不论是所谓受害者还是所谓施暴者，还是学校，还是被牵连的学生都是这事件里的牺牲品，很多人都是看热闹而已，就像你在路上人家喊打小偷你也会下 ?  展开全文,#太原师范学院#好多事情不愿意发声就是这样的，热度来的实在太容易了，公说公有理婆说婆有理，每个人说气话都会为自己开脱，会下意识去除对自己不利的地方，不论是所谓受害者还是所谓施暴者，还是学校，还是被牵连的学生都是这事件里的牺牲品，很多人都是看热闹而已，就像你在路上人家喊打小偷你也会下意识觉得对，打的好，但可能被打的根本不是小偷呢？微博上阴谋论的人太多，有时候用脚趾头想想都觉得不可能的，他们都会说肯定这个人家里是很有权势的，权利滔天才会bababl，真的权利这么大就不会给你有讨论的机会了。其实很多人不关心什么受害人的想法，他们只在乎他们想要的正义，如果不是他们要的结果，那就不是正义。 收起全文"
"想到了黑镜第一季第一集 网络舆论看似正义的背后是多少乌合之众在跟风口嗨 人人赶集般争做正义使者 不管看到的是全部还是放大镜下的片面之词#太原师范学院#,#太原师范回应 未发生暴力行为#   这件事已成了罗生门。不站谁，只想站真相。罗生门之太原师范学院校园欺凌事件 ?"
#太原师范学院#  ?
"太原师范回应 未发生暴力行为# 太原师范学院这件事到现在还没有结果，我不知道调查组工作是否还在进行，我不相信太原师范学院欺凌案就是一个笑话而已，而是觉得学校回复才是笑话。        我看今年五月份四川师范大学熊清泉教授给学生发裸照事件，最近大家得到的消息是芝芝得到保研承诺以后就不再追究 ?  展开全文,太原师范回应 未发生暴力行为# 太原师范学院这件事到现在还没有结果，我不知道调查组工作是否还在进行，我不相信太原师范学院欺凌案就是一个笑话而已，而是觉得学校回复才是笑话。        我看今年五月份四川师范大学熊清泉教授给学生发裸照事件，最近大家得到的消息是芝芝得到保研承诺以后就不再追究，我想说芝芝这样的学校你还敢待么，追究是你的权利，想想之前奔驰事件吧，也是权利人放弃追究，最后奔驰事件熄火了，最后怎样，女车主各种丑闻就出来了，你还不明白有些事是不能妥协的吗，否则人家腾出手来你就惨了！希望芝芝及其父母不要太天真，中国官场最不缺的就是保证，保证你读研能保证你毕业，如果保证都能实现就不会出现那么多烂尾工程，烂尾楼，网友眼下支持你，但是如果你妥协了，让步了，未来你再后悔，或许没人再理你了，这是因为你的软弱失去了更多人的信任。      太原师范学院问题，包括社会上举报学校领导买官卖官，不作为，违规使用干部问题，必须查清楚，给社会一个满意答案！ 收起全文"
"#太原师范学院校园暴力反转#不知道真相的我眼泪掉下来如果芝芝发的是真相，那她的父母就过于软弱，竟然可以忍受别人如此对待自己的女儿。换成我被欺负，我爸会做出什么我都不敢想，我妈说班都不上了也得过来帮我。如果瑶姐没错，为什么不为自己辩解？学校的这种处理方法，是让人 ?  展开全文,#太原师范学院校园暴力反转#不知道真相的我眼泪掉下来如果芝芝发的是真相，那她的父母就过于软弱，竟然可以忍受别人如此对待自己的女儿。换成我被欺负，我爸会做出什么我都不敢想，我妈说班都不上了也得过来帮我。如果瑶姐没错，为什么不为自己辩解？学校的这种处理方法，是让人最最最最心寒的所在，我相信总会有一个舍不得自己家孩子受委屈的家长来给贵校上一课。学校从头到脚的腐败，黑暗，包庇，徇私，已经让象牙塔变得不再美好。人善被人欺。 太原·中北大学 收起全文"
#太原师范学院#已经没有动静了吗？ ?
"//@一只苦卤糕://@万酥筋骨通://@锕祺_://@放开那个RDJ://@吸本罐头:不处理真是当大家傻子//@盖锤://@女神请保佑我顺利://@Theo的傻大个://@刺客棉条:“如何防止此类事件被爆出”//@·昆仑君·:免费水军算盘打得不错//@秦桑槡颡:#李梓瑶#  #太原师范学院#  这个学院等着凉凉吧，做不了啥，,#李梓瑶#这事真气人 ?"
"//@半夏枫荷:这几天，早晨一醒来，第一件事拿起手机打开微博看看这件事。晚上睡觉之前，也要看一下事情进展。越是等待，越是难过，越是心寒。#太原师范回应 未发生暴力行为#  我只是一个学生，我做不了什么事，顶多在微博上发发牢骚，仅此而已。#太原师范学院#,这么多天，真是不好意思，难为大家的跟进了，大家说心寒，对不起，作为当事人朋友，这么些天陪着忙这忙那的，最后这样我也心寒，所以我决定离开这件事了。我自认为我作为一个朋友该做的都做了，学校把她们俩以保护的名义关起来，我把她们带出来，我劝她们报警找律师，可是浪费了一天被告知当地律师不 ?  展开全文,这么多天，真是不好意思，难为大家的跟进了，大家说心寒，对不起，作为当事人朋友，这么些天陪着忙这忙那的，最后这样我也心寒，所以我决定离开这件事了。我自认为我作为一个朋友该做的都做了，学校把她们俩以保护的名义关起来，我把她们带出来，我劝她们报警找律师，可是浪费了一天被告知当地律师不接这个案子（不好意思没有录音，如果我造谣我现在就暴毙），周末公安局不能立案，再加上芝芝父母来了，一切不是我能说动的了，父母坚信学校能解决好，芝芝崩溃好几次也不听芝芝的，说芝芝是多想了，芝芝没有病，说要芝芝自己坚强起来。我们联系了微博那个吴律师还有知乎上那个律师，知乎上的律师过来和我们聊过很多，但是芝芝签合同的时候被母亲严厉拒绝了（纵使之后芝芝签了字，父母也不让和律师联系）我和小龙和她母亲说过很多次，芝芝也说过自己有多难受，只是妈妈一直是嘴上应着，心里有自己的想法。说句题外话，在芝芝父母来之前，我和小龙是很有把握的，只是在这之后，我们越来越绝望，以至于我也开始怀疑我做的到底是对是错，最终我决定抽身离开。你们要说我自私也好，说我带节奏也好，学校的处理方式是真的不够好，你们给学校道歉是你们的自由，只是我希望，如果芝芝妥协于父母，今后的你们能对芝芝好一些，她不是无中生有，她的确遭受了你们无法想象的伤害，那些证据律师已经表明过能走刑事案件了，只是刑事得当事人去报警，芝芝父母是不会让芝芝去的。父母还想继续跟学校商讨，得出一个最优方案，我不知道会怎么样，我也不想管了。我把自己当做受害人，最后我真的成了受害人，我自己的精神都有点崩溃。吃力不讨好的事情，可能我以后再也不会做了，朋友让我别再浪费我的善良了，我只想快点回家倒头睡一觉，可能会喝很多酒，心里真的很堵，这几天我强撑着不哭，因为我觉得我如果哭了会影响她们的情绪，我一直控制自己，我差点忘了我也是一个才20岁的女生罢了，我没有那么坚强。最后，谢谢大家，大家的鼓励关心我都很感动，大家骂我我也接受，因为我也不确定我到底做的是不是一件对的事。然后，这个微博大概是不能再用了。拜拜啦～下个ID见。 太原·太原武宿国际机场 收起全文"
"其实和我想的一样，热度下去了，没有人关注了，事情就这样不了了之……没有答案。#太原师范学院# #太原师范回应 未发生暴力行为#,分享图片 晋中·太原师范学院 ?"
"要么继续当奴才，要么站起来反抗,#太原师范回应 未发生暴力行为#太原师范学院正式回应表示“4人在宿舍经常互相打闹未发生过暴力行为，不存在扒衣服行为更不存在向外发布裸照行为，表示拍摄的视频仅发在了本宿舍的qq群”，#赵湘#随后网友们纷纷表示#李梓瑶#“这个回应很不满意一定存在阴谋”，大家觉得此件事情真的就这么简单吗？  ?  展开全文,#太原师范回应 未发生暴力行为#太原师范学院正式回应表示“4人在宿舍经常互相打闹未发生过暴力行为，不存在扒衣服行为更不存在向外发布裸照行为，表示拍摄的视频仅发在了本宿舍的qq群”，#赵湘#随后网友们纷纷表示#李梓瑶#“这个回应很不满意一定存在阴谋”，大家觉得此件事情真的就这么简单吗？ 扒圈新闻的秒拍视频 收起全文"
当事人律师发声。电影里正义总能战胜邪恶，但在现实世界里很难发生。#太原师范学院##太原师范回应 未发生暴力行为##考研##2020考研##正义网友与太原师范王芝芝通话录音# ?
#删评论，关热搜，大家一起卸微博！##太原师范保研路已开通，各位同学放心驾驶##太原师范学院校园暴力# 反正我是卸载了 太原 ?
太原师范学院暴力事件真的让人感到失望，以后真的不能随便相信人了利用大家的关心，却又不真正勇敢起来，真的极其失望，白费了我那么多天的关心。 ?
#太原师范学院#如果说真的是造谣，为什么学校当时不给出盖章声明?告诉大家还自己一个清白，第二言语暴力不是暴力吗？还有学校压热度这件事情是什么意思呢？疑点很多，事情的真相还没有出来，各位急什么?急着发泄自己的情绪吗？急着骂人?急着网爆?事情还没结束这么急干什么？ ?
"@太原师范学院-  @全国大联考  不得不再次艾特你,#太原师范学院#我真的强烈要求通过法律解决，真的是太过分了！！ ?"
